ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv,ret_1d,ret_5d,ret_10d,volatility_20,ma_ratio_5_20,vol_ratio_5_20,rsi_14,high_low_range,Next_Ret,Label,log_mv
600031.SH,600031,三一重工,2024-05-28,15.96,15.39,15.98,15.34,797064.0,1322663952.0,-3.57,qfq,2.00986158,1.89139792,139675284301.02,-0.0357142857142857,-0.02902208201892742,-0.029634300126103352,0.022242891723590605,0.9971459377180185,0.7775915247610042,46.64429530201344,0.041585445094217056,-0.011695906432748537,0,25.66258616773627
600031.SH,600031,三一重工,2024-05-29,15.39,15.21,15.43,15.13,484732.0,791037758.0,-1.17,qfq,1.98788254,1.87071435,138147851058.36,-0.011695906432748537,-0.040983606557376984,-0.03305785123966942,0.01995363206719293,0.9881488053742318,0.8320588991473873,25.000000000000014,0.01972386587771196,-0.0032873109796187627,0,25.651590333061737
600031.SH,600031,三一重工,2024-05-30,15.19,15.16,15.31,15.02,385781.0,625756191.0,-0.33,qfq,1.98177724,1.86496891,137723564046.51,-0.0032873109796187627,-0.03069053708439895,-0.04952978056426327,0.01994767944747925,0.9817225759447558,0.8433852395084833,25.213675213675216,0.019129287598944653,-0.0032981530343008103,0,25.648514354013844
600031.SH,600031,三一重工,2024-05-31,15.23,15.11,15.4,15.1,375487.0,611706984.0,-0.33,qfq,1.97567195,1.85922348,137299277034.66,-0.0032981530343008103,-0.04124365482233505,-0.05444305381727166,0.019757291841515288,0.9738876917226518,0.8056854305475575,24.894514767932478,0.019854401058901436,-0.01786896095301127,0,25.64542888411769
600031.SH,600031,三一重工,2024-06-03,15.11,14.84,15.18,14.74,655212.0,1046103896.0,-1.79,qfq,1.94270339,1.82819811,135008127170.67,-0.01786896095301127,-0.07017543859649134,-0.06313131313131315,0.01759306110331086,0.962802823170344,0.9049898899189726,26.818181818181813,0.0296495956873315,0.0,0,25.62860081483704
600031.SH,600031,三一重工,2024-06-04,14.84,14.84,14.98,14.79,447745.0,713768479.0,0.0,qfq,1.94270339,1.82819811,135008127170.67,0.0,-0.03573749187784281,-0.06372239747634068,0.017606483444161686,0.9587346131768608,0.7933718965068115,28.502415458937193,0.012803234501347795,-0.009433962264150941,0,25.62860081483704
600031.SH,600031,三一重工,2024-06-05,14.84,14.7,14.9,14.65,370076.0,585176044.0,-0.94,qfq,1.92560857,1.81211089,133820123537.49,-0.009433962264150941,-0.033530571992110514,-0.0731399747793191,0.017508484110290275,0.9549393968467171,0.7597475114947762,18.592964824120642,0.017006802721088437,0.026530612244898055,1,25.61976237346229
600031.SH,600031,三一重工,2024-06-06,14.83,15.09,15.23,14.79,710628.0,1145320305.0,2.65,qfq,1.97322984,1.8569253,137129562229.92,0.026530612244898055,-0.00461741424802109,-0.03516624040920724,0.014003771096560324,0.9580269115899676,0.9121785727779452,31.06382978723404,0.029158383035122682,0.000662690523525411,1,25.644192025580292
600031.SH,600031,三一重工,2024-06-07,15.12,15.1,15.46,15.01,766496.0,1249116566.0,0.07,qfq,1.9744509,1.85807439,137214419632.29,0.000662690523525411,-0.0006618133686300265,-0.04187817258883253,0.014042698801627318,0.9616661830609021,1.033230786257291,33.33333333333333,0.02980132450331133,-0.015894039735099397,0,25.64481064607636
600031.SH,600031,三一重工,2024-06-11,15.11,14.86,15.11,14.68,440590.0,700148468.0,-1.59,qfq,1.9451455,1.83049629,135177841975.41,-0.015894039735099397,0.0013477088948787852,-0.06892230576441116,0.014283089394694259,0.9664107796456448,0.969158274399545,29.795918367346943,0.028936742934051126,0.009421265141319024,1,25.6298570964093
600031.SH,600031,三一重工,2024-06-12,14.81,15.0,15.08,14.7,563963.0,900090814.0,0.94,qfq,1.96224032,1.84658351,136365845608.59,0.009421265141319024,0.010781671159029615,-0.025341130604288553,0.013570193570700887,0.9711891382726475,1.0472759149102757,33.33333333333336,0.025333333333333385,-0.033333333333333326,0,25.638607152236766
600031.SH,600031,三一重工,2024-06-13,14.92,14.5,14.94,14.44,678733.0,1060702711.0,-3.33,qfq,1.90118741,1.78912914,132122975490.09,-0.033333333333333326,-0.013605442176870652,-0.04667981591058523,0.015175571278786262,0.9724758674667363,1.1397177617116052,30.06993006993008,0.034482758620689655,0.0075862068965517615,1,25.60699895833325
600031.SH,600031,三一重工,2024-06-14,14.44,14.61,14.68,14.39,374378.0,586026374.0,0.76,qfq,1.91461905,1.8017691,133056406916.16,0.0075862068965517615,-0.031809145129224725,-0.0362796833773088,0.01484120132888446,0.9704552898788076,1.0612256631086872,29.82456140350878,0.019849418206707676,-0.002737850787132068,0,25.614038987409607
600031.SH,600031,三一重工,2024-06-17,14.56,14.57,14.65,14.48,298514.0,466708092.0,-0.27,qfq,1.90973482,1.79717275,132716977306.68,-0.002737850787132068,-0.035099337748344284,-0.03573792190602243,0.01477620364384007,0.967981835532594,0.9245860082562902,24.163568773234203,0.011667810569663687,0.026080988332189303,1,25.611484707604507
600031.SH,600031,三一重工,2024-06-18,14.57,14.95,15.12,14.35,591174.0,935527398.0,2.61,qfq,1.95613503,1.84083808,135941558596.74,0.026080988332189303,0.00605652759084796,0.0074123989218328745,0.016230210886010503,0.9720132013201319,0.9825564002018214,41.199999999999974,0.051505016722408,-0.013377926421404673,0,25.63549091412756
600031.SH,600031,三一重工,2024-06-19,14.88,14.75,14.93,14.63,412765.0,652932086.0,-1.34,qfq,1.93171386,1.81785633,134244410549.34,-0.013377926421404673,-0.01666666666666672,-0.0060646900269542,0.016377716050901093,0.9722424643921828,0.9166701203819206,40.87301587301585,0.020338983050847387,-0.007457627118644061,0,25.62292793482685
600031.SH,600031,三一重工,2024-06-20,14.73,14.64,15.03,14.55,431245.0,681099484.0,-0.75,qfq,1.91828223,1.80521637,133310979123.27,-0.007457627118644061,0.009655172413793212,-0.004081632653061162,0.016371197445181205,0.9780497538911801,0.820235108726843,39.92248062015504,0.032786885245901544,0.030737704918032627,1,25.615950424754875
600031.SH,600031,三一重工,2024-06-21,14.7,15.09,15.23,14.64,619218.0,983043367.0,3.07,qfq,1.94636656,1.83164538,135262699377.78,0.030737704918032627,0.03285420944558526,0.0,0.017903459024774797,0.9862392963049347,0.8988433711420676,49.66442953020135,0.039098740888005294,0.002650762094102088,1,25.630484645849414
600031.SH,600031,三一重工,2024-06-24,15.09,15.13,15.35,15.02,544571.0,873027207.0,0.27,qfq,1.95125079,1.83624173,135602128987.26,0.002650762094102088,0.038435140700068704,0.001986754966887494,0.017800959924528126,0.9957929883138565,0.9958968165074581,55.272727272727295,0.021810971579643096,0.02511566424322531,1,25.632990912825473
600031.SH,600031,三一重工,2024-06-25,15.15,15.51,15.7,15.15,1045628.0,1710123401.0,2.51,qfq,1.997651,1.87990705,138826710277.32,0.02511566424322531,0.03745819397993322,0.043741588156123834,0.018538058940701464,1.0047818090620297,1.1109430598508279,60.702875399361034,0.03546099290780135,0.003223726627981982,1,25.656492303661945
600031.SH,600031,三一重工,2024-06-26,15.53,15.56,15.62,15.32,669452.0,1093034296.0,0.32,qfq,2.00375629,1.88565249,139250997289.17,0.003223726627981982,0.05491525423728816,0.03733333333333344,0.016681493553886626,1.0150391016643274,1.2184781180278121,64.14473684210529,0.019280205655526923,-0.009640102827763508,0,25.659543877589343
600031.SH,600031,三一重工,2024-06-27,15.54,15.41,15.63,15.41,510800.0,835253448.0,-0.96,qfq,1.98544042,1.86841617,137978136253.62,-0.009640102827763508,0.05259562841530041,0.0627586206896551,0.016607381706098576,1.0246476521274464,1.2447767519097621,55.71428571428573,0.014276443867618472,0.015574302401038409,1,25.65036107660701
600031.SH,600031,三一重工,2024-06-28,15.35,15.65,15.77,15.27,502143.0,827608489.0,1.56,qfq,2.01474581,1.89599427,140014713910.5,0.015574302401038409,0.03711066931742879,0.07118412046543465,0.01689703523929152,1.0304424660731555,1.1890809712723018,59.0759075907591,0.03194888178913738,-0.004472843450479269,0,25.665013353393878
600031.SH,600031,三一重工,2024-07-01,15.61,15.58,15.75,15.42,380058.0,623781671.0,-0.45,qfq,2.01688449,1.88795066,139420712093.91,-0.004472843450479269,0.029742233972240628,0.06932052161976654,0.016917451795251403,1.034822558093082,1.1288372725234712,62.587412587412615,0.021181001283697053,-0.05006418485237485,0,25.66076190453652
600031.SH,600031,三一重工,2024-07-02,15.53,14.8,15.53,14.65,1021853.0,1613311047.0,-5.01,qfq,1.92113465,1.79832184,132801834709.05,-0.05006418485237485,-0.045776918117343635,-0.010033444816053394,0.020105676392540867,1.0255044283145769,1.0841117290551958,47.142857142857146,0.059459459459459386,-0.0033783783783783994,0,25.612123889473505
600031.SH,600031,三一重工,2024-07-03,14.71,14.75,14.85,14.6,400547.0,623889667.0,-0.34,qfq,1.91499684,1.7925764,132377547697.2,-0.0033783783783783994,-0.05205655526992292,0.0,0.02012038109532515,1.0150208159866778,0.9937148984472725,54.09836065573771,0.01694915254237288,0.0013559322033898091,1,25.608923886742836
600031.SH,600031,三一重工,2024-07-04,14.76,14.77,15.0,14.67,317439.0,497286760.0,0.14,qfq,1.91745196,1.79487458,132547262501.94,0.0013559322033898091,-0.0415314730694355,0.008879781420765065,0.020001530720639323,1.0062599893446988,0.9297853450228476,52.702702702702716,0.022342586323628982,0.01354096140826,1,25.610205116898882
600031.SH,600031,三一重工,2024-07-05,14.77,14.97,15.04,14.65,441273.0,694059920.0,1.35,qfq,1.9420032,1.81785633,134244410549.34,0.01354096140826,-0.04345047923322687,-0.007952286282306154,0.01930824864171501,0.997601598934044,0.9304176611412027,56.410256410256416,0.026052104208416752,-0.01736806947227787,0,25.62292793482685
600031.SH,600031,三一重工,2024-07-08,15.06,14.71,15.11,14.66,290464.0,454614029.0,-1.74,qfq,1.91008659,1.78798005,132038118087.72,-0.01736806947227787,-0.055840821566110366,-0.027759418374091238,0.01968217415360562,0.9872919515693273,0.938441782707383,46.00000000000003,0.03059143439836841,-0.017675050985724083,0,25.60635649123759
600031.SH,600031,三一重工,2024-07-09,14.56,14.45,14.62,14.03,773771.0,1171632387.0,-1.77,qfq,1.87816997,1.75810378,129831825626.1,-0.017675050985724083,-0.023648648648648796,-0.06834300451321729,0.01975641655955013,0.9839679358717434,0.8183644646677505,45.09803921568626,0.040830449826989614,0.0152249134948097,1,25.589505800885735
600031.SH,600031,三一重工,2024-07-10,14.31,14.67,14.71,14.31,456569.0,704411752.0,1.52,qfq,1.90517634,1.7833837,131698688478.24,0.0152249134948097,-0.0054237288135593476,-0.05719794344473006,0.019962349743091145,0.9839836827498578,0.8473568608427322,50.47318611987381,0.02726653033401502,0.0545330606680301,1,25.603782487242416
600031.SH,600031,三一重工,2024-07-11,14.75,15.47,15.48,14.75,683970.0,1100747455.0,5.45,qfq,2.0033813,1.8753107,138487280667.84,0.0545330606680301,0.04739336492891,0.0038935756002596023,0.022016656556082124,0.990134648713505,0.9831277322551569,55.39772727272728,0.04718810601163545,-0.0012928248222366934,0,25.654044322023307
600031.SH,600031,三一重工,2024-07-12,15.46,15.45,15.54,15.32,332412.0,541110685.0,-0.13,qfq,2.00092618,1.87301252,138317565863.1,-0.0012928248222366934,0.032064128256512836,-0.012779552715655007,0.022018862693385058,0.9937516617920765,0.9463699005563851,54.57142857142854,0.014239482200647175,-0.0006472491909385036,0,25.65281808030006
600031.SH,600031,三一重工,2024-07-15,15.31,15.44,15.63,15.25,309859.0,505964835.0,-0.06,qfq,1.99969862,1.87186344,138232708460.73,-0.0006472491909385036,0.04962610469068651,-0.00898587933247752,0.021994995976112777,1.00056338028169,0.9525964603769781,48.88178913738019,0.024611398963730623,-0.0019430051813471572,0,25.652204395101297
