ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv,ret_1d,ret_5d,ret_10d,volatility_20,ma_ratio_5_20,vol_ratio_5_20,rsi_14,high_low_range,Next_Ret,Label,log_mv
000816.SZ,000816,智慧农业,2024-05-06,2.27,2.29,2.3,2.26,177226.0,40532579.16,1.78,qfq,1.58376614,2.68815828,3313660498.22,0.017777777777777892,0.040909090909090784,-0.008658008658008698,0.03441483595423147,0.9411273486430061,0.702413009921323,30.6818181818182,0.01746724890829696,0.004366812227074135,1,21.921319305989627
000816.SZ,000816,智慧农业,2024-05-07,2.29,2.3,2.31,2.27,153331.0,35145635.6,0.44,qfq,1.59068215,2.69989696,3328130631.4,0.004366812227074135,0.03603603603603589,0.022222222222222143,0.034148538578788336,0.9541824295922656,0.7438420478854698,29.06976744186045,0.017391304347826105,0.10000000000000009,1,21.925676611358583
000816.SZ,000816,智慧农业,2024-05-08,2.31,2.53,2.53,2.3,659125.0,162118175.72,10.0,qfq,1.74975037,2.96988666,3660943694.54,0.10000000000000009,0.13963963963963955,0.13963963963963955,0.040741674139998775,0.9839662447257382,1.165325959921325,53.93258426966292,0.09090909090909091,-0.04347826086956519,0,22.02098679116291
000816.SZ,000816,智慧农业,2024-05-09,2.44,2.42,2.47,2.4,578750.0,141021734.09,-4.35,qfq,1.67367426,2.84076115,3501772229.56,-0.04347826086956519,0.05676855895196509,0.10502283105022836,0.041627751839445996,0.9999999999999998,1.4357505966908475,64.0,0.028925619834710863,0.012396694214876103,1,21.976535028592075
000816.SZ,000816,智慧农业,2024-05-10,2.43,2.45,2.5,2.4,358601.0,87404185.91,1.24,qfq,1.69442229,2.8759772,3545182629.1,0.012396694214876103,0.08888888888888902,0.11363636363636354,0.041712295509433846,1.0219475815043684,1.5769662128295092,60.29411764705883,0.040816326530612276,-0.028571428571428692,0,21.988855512980113
000816.SZ,000816,智慧农业,2024-05-13,2.42,2.38,2.43,2.35,246023.0,58373758.0,-2.86,qfq,1.64601023,2.79380642,3443891696.84,-0.028571428571428692,0.0393013100436681,0.08181818181818179,0.04195831554287385,1.0351328191945155,1.623364779215582,59.420289855072454,0.033613445378151294,0.0,0,21.95986797610686
000816.SZ,000816,智慧农业,2024-05-14,2.36,2.38,2.4,2.35,135415.0,32194605.73,0.0,qfq,1.64601023,2.79380642,3443891696.84,0.0,0.034782608695652195,0.072072072072072,0.04195831554287385,1.047598535429679,1.6208490569903178,62.12121212121209,0.021008403361344463,0.0,0,21.95986797610686
000816.SZ,000816,智慧农业,2024-05-15,2.39,2.38,2.44,2.36,172702.0,41384952.0,0.0,qfq,1.64601023,2.79380642,3443891696.84,0.0,-0.059288537549407105,0.072072072072072,0.041813163796673394,1.0409534127843987,1.2474564051501902,65.07936507936506,0.033613445378151294,0.01680672268907557,1,21.95986797610686
000816.SZ,000816,智慧农业,2024-05-16,2.37,2.42,2.49,2.35,267459.0,64895040.34,1.68,qfq,1.67367426,2.84076115,3501772229.56,0.01680672268907557,0.0,0.05676855895196509,0.03858749331095255,1.0418564302754285,1.0148879469802312,66.66666666666664,0.05785123966942154,-0.004132231404958553,0,21.976535028592075
000816.SZ,000816,智慧农业,2024-05-17,2.4,2.41,2.42,2.38,144331.0,34596077.2,-0.41,qfq,1.66675825,2.82902247,3487302096.38,-0.004132231404958553,-0.01632653061224487,0.07111111111111112,0.03037148203000025,1.0339019650183545,0.8652830838559038,65.67164179104478,0.016597510373443997,-0.008298755186721962,0,21.972394235926043
000816.SZ,000816,智慧农业,2024-05-20,2.42,2.39,2.43,2.38,166140.0,39897031.31,-0.83,qfq,1.65292624,2.8055451,3458361830.02,-0.008298755186721962,0.004201680672269115,0.04366812227074246,0.028941451853102793,1.0329812459581806,0.8008923238859114,62.6865671641791,0.02092050209205032,-0.02092050209205032,0,21.9640608543669
000816.SZ,000816,智慧农业,2024-05-21,2.37,2.34,2.38,2.33,140438.0,32977161.0,-2.09,qfq,1.61834619,2.74685169,3386011164.12,-0.02092050209205032,-0.01680672268907568,0.01739130434782621,0.02870464666358068,1.0275387263339069,0.8177337934980586,58.33333333333331,0.02136752136752129,-0.004273504273504147,0,21.942918417793088
000816.SZ,000816,智慧农业,2024-05-22,2.32,2.33,2.35,2.32,96921.0,22600379.65,-0.43,qfq,1.61143018,2.73511301,3371541030.94,-0.004273504273504147,-0.021008403361344463,-0.07905138339920936,0.028515129616752292,1.020819918437433,0.7572211198163251,53.03030303030303,0.012875536480686801,-0.030042918454935785,0,21.938635756001087
000816.SZ,000816,智慧农业,2024-05-23,2.32,2.26,2.33,2.25,159150.0,36242534.75,-3.0,qfq,1.56301811,2.65294223,3270250098.68,-0.030042918454935785,-0.06611570247933896,-0.06611570247933896,0.029242910867417912,1.005572224603515,0.6521175163766145,50.72463768115939,0.03539823008849561,-0.004424778761061843,0,21.908132301707674
000816.SZ,000816,智慧农业,2024-05-24,2.26,2.25,2.28,2.24,101698.0,22991769.8,-0.44,qfq,1.5561021,2.64120355,3255779965.5,-0.004424778761061843,-0.06639004149377603,-0.08163265306122458,0.029269956349446558,0.990794262470563,0.6131639091394692,46.96969696969697,0.017777777777777597,-0.004444444444444362,0,21.903697704639807
000816.SZ,000816,智慧农业,2024-05-27,2.26,2.24,2.27,2.22,76386.0,17091159.32,-0.44,qfq,1.5491861,2.62946487,3241309832.32,-0.004444444444444362,-0.06276150627615062,-0.05882352941176461,0.02929894526456865,0.9771122994652406,0.5366482146843161,45.45454545454549,0.02232142857142849,-0.008928571428571397,0,21.899243354290427
000816.SZ,000816,智慧农业,2024-05-28,2.24,2.22,2.25,2.22,82235.0,18362237.0,-0.89,qfq,1.53535408,2.6059875,3212369565.96,-0.008928571428571397,-0.0512820512820511,-0.0672268907563024,0.029323670441537046,0.9668449197860964,0.48563966090146493,15.555555555555614,0.013513513513513424,0.009009009009008917,1,21.890274684307666
000816.SZ,000816,智慧农业,2024-05-29,2.23,2.24,2.26,2.22,77712.0,17425364.51,0.9,qfq,1.5491861,2.62946487,3241309832.32,0.009009009009008917,-0.03862660944205998,-0.05882352941176461,0.02938641391000494,0.9587342313448791,0.4753518904851413,25.000000000000057,0.017857142857142672,-0.008928571428571397,0,21.899243354290427
000816.SZ,000816,智慧农业,2024-05-30,2.24,2.22,2.26,2.21,85962.0,19187419.51,-0.89,qfq,1.53535408,2.6059875,3212369565.96,-0.008928571428571397,-0.017699115044247593,-0.0826446280991735,0.02854331657008859,0.9567451820128482,0.4207798200987708,17.142857142857153,0.02252252252252244,0.0,0,21.890274684307666
000816.SZ,000816,智慧农业,2024-05-31,2.22,2.22,2.23,2.21,68627.0,15238527.0,0.0,qfq,1.53535408,2.6059875,3212369565.96,0.0,-0.013333333333333197,-0.07883817427385886,0.028284718004418338,0.9547889436468825,0.3960476486690751,21.428571428571473,0.009009009009009016,-0.03603603603603611,0,21.890274684307666
000816.SZ,000816,智慧农业,2024-06-03,2.22,2.14,2.22,2.12,173208.0,37350012.08,-3.6,qfq,1.480026,2.51207804,3096608500.52,-0.03603603603603611,-0.044642857142857206,-0.10460251046025104,0.029024013793522308,0.9492691315563201,0.49464253207356396,16.666666666666686,0.04672897196261686,-0.004672897196261738,0,21.85357331745724
000816.SZ,000816,智慧农业,2024-06-04,2.14,2.13,2.15,2.1,110596.0,23429796.0,-0.47,qfq,1.47310999,2.50033936,3082138367.34,-0.004672897196261738,-0.04054054054054068,-0.08974358974358976,0.028973678352391397,0.9449838187702265,0.5291377962049776,16.216216216216225,0.023474178403755788,-0.014084507042253391,0,21.84888946814481
000816.SZ,000816,智慧农业,2024-06-05,2.11,2.1,2.14,2.1,101531.0,21476877.0,-1.41,qfq,1.45236196,2.46512331,3038727967.8,-0.014084507042253391,-0.0625,-0.09871244635193133,0.01574653229581671,0.9416376306620208,0.6458643165061,5.555555555555557,0.019047619047619063,-0.10000000000000009,0,21.834704833152855
