ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv
000816.SZ,000816,智慧农业,2024-04-01,2.51,2.58,2.58,2.48,161658.0,41247549.92,2.79,qfq,1.78433041,2.72050757,3733294360.44
000816.SZ,000816,智慧农业,2024-04-02,2.58,2.62,2.63,2.56,192019.0,50127911.0,1.55,qfq,1.81199445,2.76268598,3791174893.16
000816.SZ,000816,智慧农业,2024-04-03,2.65,2.71,2.76,2.6,590326.0,158856682.66,3.44,qfq,1.87423854,2.85758741,3921406091.78
000816.SZ,000816,智慧农业,2024-04-08,2.69,2.66,2.87,2.64,524516.0,142648827.64,-1.85,qfq,1.83965849,2.80486439,3849055425.88
000816.SZ,000816,智慧农业,2024-04-09,2.64,2.68,2.71,2.61,260820.0,69437054.0,0.75,qfq,1.85349051,2.8259536,3877995692.24
000816.SZ,000816,智慧农业,2024-04-10,2.67,2.63,2.75,2.6,216212.0,57415420.64,-1.87,qfq,1.81891046,2.77323059,3805645026.34
000816.SZ,000816,智慧农业,2024-04-11,2.59,2.63,2.68,2.58,171996.0,45211065.5,0.0,qfq,1.81891046,2.77323059,3805645026.34
000816.SZ,000816,智慧农业,2024-04-12,2.63,2.66,2.73,2.61,271379.0,72510810.24,1.14,qfq,1.83965849,2.80486439,3849055425.88
000816.SZ,000816,智慧农业,2024-04-15,2.61,2.46,2.62,2.39,398414.0,98654253.35,-7.52,qfq,1.7013383,2.59397233,3559652762.28
000816.SZ,000816,智慧农业,2024-04-16,2.44,2.21,2.44,2.21,330612.0,74834562.34,-10.16,qfq,1.52843807,2.33035726,3197899432.78
000816.SZ,000816,智慧农业,2024-04-17,2.21,2.31,2.34,2.21,206108.0,47288551.46,4.52,qfq,1.59759816,2.43580329,3342600764.58
000816.SZ,000816,智慧农业,2024-04-18,2.31,2.25,2.33,2.24,207008.0,46901666.92,-2.6,qfq,1.5561021,2.37253567,3255779965.5
000816.SZ,000816,智慧农业,2024-04-19,2.25,2.22,2.27,2.21,148908.0,33193506.78,-1.33,qfq,1.53535408,2.34090186,3212369565.96
000816.SZ,000816,智慧农业,2024-04-22,2.21,2.19,2.23,2.13,129373.0,28345996.19,-1.35,qfq,1.51460605,2.30926805,3168959166.42
000816.SZ,000816,智慧农业,2024-04-23,2.21,2.2,2.22,2.18,104322.0,22963692.0,0.46,qfq,1.52152206,2.31981266,3183429299.6
000816.SZ,000816,智慧农业,2024-04-24,2.21,2.2,2.22,2.17,127453.0,27914979.0,0.0,qfq,1.52152206,2.31981266,3183429299.6
000816.SZ,000816,智慧农业,2024-04-25,2.2,2.22,2.23,2.17,111786.0,24749490.62,0.91,qfq,1.53535408,2.34090186,3212369565.96
000816.SZ,000816,智慧农业,2024-04-26,2.2,2.22,2.22,2.18,147301.0,32442299.0,0.0,qfq,1.53535408,2.6059875,3212369565.96
000816.SZ,000816,智慧农业,2024-04-29,2.21,2.29,2.3,2.2,239105.0,54312417.18,3.15,qfq,1.58376614,2.68815828,3313660498.22
000816.SZ,000816,智慧农业,2024-04-30,2.29,2.25,2.31,2.23,150940.0,34100691.25,-1.75,qfq,1.5561021,2.64120355,3255779965.5
000816.SZ,000816,智慧农业,2024-05-06,2.27,2.29,2.3,2.26,177226.0,40532579.16,1.78,qfq,1.58376614,2.68815828,3313660498.22
000816.SZ,000816,智慧农业,2024-05-07,2.29,2.3,2.31,2.27,153331.0,35145635.6,0.44,qfq,1.59068215,2.69989696,3328130631.4
000816.SZ,000816,智慧农业,2024-05-08,2.31,2.53,2.53,2.3,659125.0,162118175.72,10.0,qfq,1.74975037,2.96988666,3660943694.54
000816.SZ,000816,智慧农业,2024-05-09,2.44,2.42,2.47,2.4,578750.0,141021734.09,-4.35,qfq,1.67367426,2.84076115,3501772229.56
000816.SZ,000816,智慧农业,2024-05-10,2.43,2.45,2.5,2.4,358601.0,87404185.91,1.24,qfq,1.69442229,2.8759772,3545182629.1
000816.SZ,000816,智慧农业,2024-05-13,2.42,2.38,2.43,2.35,246023.0,58373758.0,-2.86,qfq,1.64601023,2.79380642,3443891696.84
000816.SZ,000816,智慧农业,2024-05-14,2.36,2.38,2.4,2.35,135415.0,32194605.73,0.0,qfq,1.64601023,2.79380642,3443891696.84
000816.SZ,000816,智慧农业,2024-05-15,2.39,2.38,2.44,2.36,172702.0,41384952.0,0.0,qfq,1.64601023,2.79380642,3443891696.84
000816.SZ,000816,智慧农业,2024-05-16,2.37,2.42,2.49,2.35,267459.0,64895040.34,1.68,qfq,1.67367426,2.84076115,3501772229.56
000816.SZ,000816,智慧农业,2024-05-17,2.4,2.41,2.42,2.38,144331.0,34596077.2,-0.41,qfq,1.66675825,2.82902247,3487302096.38
000816.SZ,000816,智慧农业,2024-05-20,2.42,2.39,2.43,2.38,166140.0,39897031.31,-0.83,qfq,1.65292624,2.8055451,3458361830.02
000816.SZ,000816,智慧农业,2024-05-21,2.37,2.34,2.38,2.33,140438.0,32977161.0,-2.09,qfq,1.61834619,2.74685169,3386011164.12
000816.SZ,000816,智慧农业,2024-05-22,2.32,2.33,2.35,2.32,96921.0,22600379.65,-0.43,qfq,1.61143018,2.73511301,3371541030.94
000816.SZ,000816,智慧农业,2024-05-23,2.32,2.26,2.33,2.25,159150.0,36242534.75,-3.0,qfq,1.56301811,2.65294223,3270250098.68
000816.SZ,000816,智慧农业,2024-05-24,2.26,2.25,2.28,2.24,101698.0,22991769.8,-0.44,qfq,1.5561021,2.64120355,3255779965.5
000816.SZ,000816,智慧农业,2024-05-27,2.26,2.24,2.27,2.22,76386.0,17091159.32,-0.44,qfq,1.5491861,2.62946487,3241309832.32
000816.SZ,000816,智慧农业,2024-05-28,2.24,2.22,2.25,2.22,82235.0,18362237.0,-0.89,qfq,1.53535408,2.6059875,3212369565.96
000816.SZ,000816,智慧农业,2024-05-29,2.23,2.24,2.26,2.22,77712.0,17425364.51,0.9,qfq,1.5491861,2.62946487,3241309832.32
000816.SZ,000816,智慧农业,2024-05-30,2.24,2.22,2.26,2.21,85962.0,19187419.51,-0.89,qfq,1.53535408,2.6059875,3212369565.96
000816.SZ,000816,智慧农业,2024-05-31,2.22,2.22,2.23,2.21,68627.0,15238527.0,0.0,qfq,1.53535408,2.6059875,3212369565.96
000816.SZ,000816,智慧农业,2024-06-03,2.22,2.14,2.22,2.12,173208.0,37350012.08,-3.6,qfq,1.480026,2.51207804,3096608500.52
000816.SZ,000816,智慧农业,2024-06-04,2.14,2.13,2.15,2.1,110596.0,23429796.0,-0.47,qfq,1.47310999,2.50033936,3082138367.34
000816.SZ,000816,智慧农业,2024-06-05,2.11,2.1,2.14,2.1,101531.0,21476877.0,-1.41,qfq,1.45236196,2.46512331,3038727967.8
000816.SZ,000816,智慧农业,2024-06-06,2.15,1.89,2.16,1.89,325533.0,64503037.1,-10.0,qfq,1.30712577,2.21861098,2734855171.02
000816.SZ,000816,智慧农业,2024-06-07,1.7,1.91,1.92,1.7,430523.0,79478400.5,1.06,qfq,1.32095779,2.24208835,2763795437.38
000816.SZ,000816,智慧农业,2024-06-11,1.85,1.85,1.88,1.82,185986.0,34347685.65,-3.14,qfq,1.27946173,2.17165625,2676974638.3
