ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv
000425.SZ,000425,徐工机械,2024-04-01,5.85,6.03,6.1,5.85,1561440.0,1025768254.14,3.79,qfq,1.34452629,0.86028981,77750372891.94
000425.SZ,000425,徐工机械,2024-04-02,6.0,6.01,6.1,5.92,1064673.0,697502297.0,-0.33,qfq,1.34043958,0.85767495,77514049570.08
000425.SZ,000425,徐工机械,2024-04-03,5.97,5.94,6.04,5.9,593175.0,385185319.87,-1.16,qfq,1.32613611,0.84852293,76686917943.57
000425.SZ,000425,徐工机械,2024-04-08,5.89,6.12,6.17,5.86,1582325.0,1047953598.27,3.03,qfq,1.36291647,0.87205669,78813827840.31
000425.SZ,000425,徐工机械,2024-04-09,6.16,6.04,6.36,5.99,1076429.0,720540964.31,-1.31,qfq,1.34656964,0.86159724,77868534552.87
000425.SZ,000425,徐工机械,2024-04-10,6.08,6.3,6.35,6.07,1586824.0,1084890736.72,4.3,qfq,1.39969682,0.89559045,80940737737.05
000425.SZ,000425,徐工机械,2024-04-11,6.23,6.57,6.72,6.21,2715815.0,1926899078.1,4.29,qfq,1.45486735,0.9308911,84131102582.16
000425.SZ,000425,徐工机械,2024-04-12,6.59,6.44,6.64,6.4,1206664.0,847782016.81,-1.98,qfq,1.42830376,0.91389449,82595000990.07
000425.SZ,000425,徐工机械,2024-04-15,6.45,6.77,6.82,6.43,2247447.0,1626823860.01,5.12,qfq,1.49573441,0.95703973,86494335800.76
000425.SZ,000425,徐工机械,2024-04-16,6.72,6.42,6.72,6.4,1317172.0,932673373.82,-5.17,qfq,1.42421706,0.91127963,82358677668.21
000425.SZ,000425,徐工机械,2024-04-17,6.42,7.0,7.11,6.34,2250408.0,1632754369.27,9.03,qfq,1.54273153,0.98711065,89212054002.15
000425.SZ,000425,徐工机械,2024-04-18,6.88,6.84,7.06,6.74,1698610.0,1262530715.19,-2.29,qfq,1.51003789,0.96619175,87321467427.27
000425.SZ,000425,徐工机械,2024-04-19,6.8,6.8,6.97,6.76,949185.0,701984400.41,-0.58,qfq,1.50186447,0.96096202,86848820783.55
000425.SZ,000425,徐工机械,2024-04-22,6.8,6.51,6.82,6.46,1502646.0,1070753454.24,-4.26,qfq,1.44260724,0.92304651,83422132616.58
000425.SZ,000425,徐工机械,2024-04-23,6.45,6.31,6.47,6.23,1100160.0,757419264.15,-3.07,qfq,1.40174017,0.89689789,81058899397.98
000425.SZ,000425,徐工机械,2024-04-24,6.32,6.44,6.45,6.31,928917.0,644753631.22,2.06,qfq,1.42830376,0.91389449,82595000990.07
000425.SZ,000425,徐工机械,2024-04-25,6.39,6.42,6.51,6.35,698113.0,486305894.58,-0.31,qfq,1.42421706,0.91127963,82358677668.21
000425.SZ,000425,徐工机械,2024-04-26,6.39,6.34,6.45,6.16,1379163.0,943640929.34,-1.25,qfq,1.40787023,0.90082018,81413384380.77
000425.SZ,000425,徐工机械,2024-04-29,6.3,6.36,6.4,6.25,904656.0,622068401.21,0.32,qfq,1.41195694,0.90343504,81649707702.63
000425.SZ,000425,徐工机械,2024-04-30,6.36,6.48,6.57,6.2,1322351.0,922368362.77,1.89,qfq,1.43647718,0.89195627,83067647633.79
000425.SZ,000425,徐工机械,2024-05-06,6.55,6.93,7.03,6.33,2178854.0,1588969928.35,6.94,qfq,1.52842806,0.94905162,88384922375.64
000425.SZ,000425,徐工机械,2024-05-07,6.99,6.94,7.18,6.87,1297684.0,979521293.51,0.14,qfq,1.53047142,0.95032041,88503084036.57
000425.SZ,000425,徐工机械,2024-05-08,6.89,6.83,6.9,6.73,705263.0,518959568.43,-1.59,qfq,1.50799453,0.93636376,87203305766.34
000425.SZ,000425,徐工机械,2024-05-09,6.81,7.47,7.5,6.81,2147860.0,1679458622.47,9.37,qfq,1.63876913,1.01756604,94765652065.86
