ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv
002202.SZ,002202,金风科技,2024-04-01,7.33,7.42,7.44,7.31,188865.0,144355525.64,1.78,qfq,0.90292066,0.6414154,32364018176.02
002202.SZ,002202,金风科技,2024-04-02,7.66,7.68,7.73,7.57,554161.0,437796975.38,3.5,qfq,0.9335681,0.66318668,33462535764.24
002202.SZ,002202,金风科技,2024-04-03,7.63,7.6,7.68,7.55,262432.0,205509859.43,-1.04,qfq,0.92413812,0.65648782,33124530352.48
002202.SZ,002202,金风科技,2024-04-08,7.56,7.45,7.61,7.45,224234.0,173664921.33,-1.97,qfq,0.9064569,0.64392747,32490770205.43
002202.SZ,002202,金风科技,2024-04-09,7.44,7.6,7.61,7.43,197359.0,154151965.22,2.01,qfq,0.92413812,0.65648782,33124530352.48
002202.SZ,002202,金风科技,2024-04-10,7.56,7.47,7.57,7.44,156356.0,121030166.61,-1.71,qfq,0.9088144,0.64560218,32575271558.37
002202.SZ,002202,金风科技,2024-04-11,7.39,7.52,7.58,7.37,167140.0,129473101.44,0.67,qfq,0.91470814,0.64978897,32786524940.72
002202.SZ,002202,金风科技,2024-04-12,7.52,7.41,7.58,7.4,149436.0,115422850.59,-1.46,qfq,0.90174191,0.64057804,32321767499.55
002202.SZ,002202,金风科技,2024-04-15,7.36,7.44,7.52,7.3,192646.0,147619921.62,0.4,qfq,0.90527816,0.64309011,32448519528.96
002202.SZ,002202,金风科技,2024-04-16,7.36,7.16,7.45,7.15,241420.0,181090862.73,-3.76,qfq,0.87227322,0.61964412,31265500587.8
002202.SZ,002202,金风科技,2024-04-17,7.2,7.44,7.44,7.19,210333.0,159782649.49,3.91,qfq,0.90527816,0.64309011,32448519528.96
002202.SZ,002202,金风科技,2024-04-18,7.44,7.43,7.47,7.36,183556.0,140756316.08,-0.13,qfq,0.90409941,0.64225276,32406268852.49
002202.SZ,002202,金风科技,2024-04-19,7.41,7.2,7.44,7.18,231893.0,174098267.34,-3.1,qfq,0.87698821,0.62299355,31434503293.68
002202.SZ,002202,金风科技,2024-04-22,7.22,7.11,7.27,7.09,189618.0,140162989.86,-1.25,qfq,0.86637949,0.61545734,31054247205.45
002202.SZ,002202,金风科技,2024-04-23,7.12,7.02,7.18,7.02,163051.0,119145980.95,-1.27,qfq,0.85577076,0.60792112,30673991117.22
002202.SZ,002202,金风科技,2024-04-24,7.04,7.07,7.07,6.97,137935.0,100337484.54,0.71,qfq,0.86166449,0.61210791,30885244499.57
002202.SZ,002202,金风科技,2024-04-25,7.03,7.09,7.13,7.0,133101.0,97400260.54,0.28,qfq,0.86402199,0.61378262,30969745852.51
002202.SZ,002202,金风科技,2024-04-26,7.06,7.19,7.2,7.05,181987.0,134216290.09,1.41,qfq,0.87580947,0.62215619,31392252617.21
002202.SZ,002202,金风科技,2024-04-29,7.16,7.6,7.63,7.13,582709.0,450772997.96,5.7,qfq,0.92413812,0.63858533,33124530352.48
002202.SZ,002202,金风科技,2024-04-30,7.58,7.39,7.59,7.32,381671.0,291926120.62,-2.76,qfq,0.89938442,0.62148036,32237266146.61
002202.SZ,002202,金风科技,2024-05-06,7.59,7.61,7.66,7.55,397835.0,312634768.89,2.98,qfq,0.92531687,0.63939985,33166781028.95
002202.SZ,002202,金风科技,2024-05-07,7.62,7.66,7.66,7.52,279415.0,219545620.32,0.66,qfq,0.9312106,0.64347246,33378034411.3
002202.SZ,002202,金风科技,2024-05-08,7.65,7.56,7.71,7.54,223864.0,175924621.48,-1.31,qfq,0.91942313,0.63532724,32955527646.6
002202.SZ,002202,金风科技,2024-05-09,7.53,7.68,7.7,7.53,257777.0,203801987.05,1.59,qfq,0.9335681,0.64510151,33462535764.24
002202.SZ,002202,金风科技,2024-05-10,7.76,7.76,7.8,7.64,386459.0,307981079.74,1.04,qfq,0.94299808,0.65161768,33800541176.0
002202.SZ,002202,金风科技,2024-05-13,7.71,7.8,7.84,7.64,310693.0,248873792.95,0.52,qfq,0.94771307,0.65487577,33969543881.88
