ts_code,symbol,name,trade_date,open,close,high,low,volume,amount,pct_chg,adjust_type,pb,ps_ttm,total_mv
600207.SH,600207,安彩高科,2024-04-01,5.02,5.19,5.26,4.99,542705.0,278595971.0,2.77,qfq,1.81956679,1.08800001,5653532155.26
600207.SH,600207,安彩高科,2024-04-02,5.15,5.06,5.16,5.01,373036.0,188987825.0,-2.5,qfq,1.77398997,1.0607476,5511921523.24
600207.SH,600207,安彩高科,2024-04-03,5.06,4.94,5.06,4.94,255564.0,127287620.0,-2.37,qfq,1.73191906,1.03559153,5381204016.76
600207.SH,600207,安彩高科,2024-04-08,4.93,4.84,4.97,4.83,239622.0,117188495.0,-2.02,qfq,1.69685997,1.01462814,5272272761.36
600207.SH,600207,安彩高科,2024-04-09,4.83,5.01,5.02,4.83,264035.0,131064669.0,3.51,qfq,1.75646043,1.0502659,5457455895.54
600207.SH,600207,安彩高科,2024-04-10,4.97,4.79,4.97,4.75,261637.0,126382075.0,-4.39,qfq,1.67933043,1.00414644,5217807133.66
600207.SH,600207,安彩高科,2024-04-11,4.78,4.79,4.86,4.71,164886.0,79203754.0,0.0,qfq,1.67933043,1.00414644,5217807133.66
600207.SH,600207,安彩高科,2024-04-12,4.75,4.65,4.79,4.63,226453.0,106213794.0,-2.92,qfq,1.6302477,0.9747977,5065303376.1
600207.SH,600207,安彩高科,2024-04-15,4.61,4.37,4.67,4.26,356342.0,157071168.0,-6.02,qfq,1.53208225,0.9161002,4760295860.98
600207.SH,600207,安彩高科,2024-04-16,4.29,3.93,4.32,3.93,331372.0,132930653.0,-10.07,qfq,1.37782225,0.82386128,4280998337.22
600207.SH,600207,安彩高科,2024-04-17,3.93,4.16,4.17,3.92,267482.0,109869717.0,5.85,qfq,1.45845816,0.87207708,4531540224.64
600207.SH,600207,安彩高科,2024-04-18,4.19,4.19,4.28,4.1,292351.0,123224332.0,0.72,qfq,1.46897589,0.8783661,4564219601.26
600207.SH,600207,安彩高科,2024-04-19,4.15,4.08,4.18,4.03,178115.0,72901750.0,-2.63,qfq,1.43041089,0.85530637,4444395220.32
600207.SH,600207,安彩高科,2024-04-22,4.05,4.03,4.13,3.97,141054.0,57184058.0,-1.23,qfq,1.41288134,0.84482467,4389929592.62
600207.SH,600207,安彩高科,2024-04-23,4.07,4.05,4.11,4.03,117542.0,47737930.0,0.5,qfq,1.41989316,0.84901735,4411715843.7
600207.SH,600207,安彩高科,2024-04-24,4.09,4.15,4.16,4.03,140753.0,57791993.0,2.47,qfq,1.45495225,0.86998074,4520647099.1
600207.SH,600207,安彩高科,2024-04-25,4.15,4.17,4.23,4.12,155858.0,65275410.0,0.48,qfq,1.46196407,0.87417342,4542433350.18
600207.SH,600207,安彩高科,2024-04-26,4.14,4.27,4.28,4.12,162908.0,68773445.0,2.4,qfq,1.49702316,0.89513681,4651364605.58
600207.SH,600207,安彩高科,2024-04-29,4.24,4.45,4.45,4.23,192919.0,84603166.0,4.22,qfq,1.56012952,0.93287091,4847440865.3
600207.SH,600207,安彩高科,2024-04-30,4.42,4.32,4.43,4.25,198078.0,85693109.0,-2.92,qfq,1.5145527,0.89068819,4705830233.28
600207.SH,600207,安彩高科,2024-05-06,4.33,4.42,4.44,4.33,184424.0,81163790.0,2.31,qfq,1.54961179,0.91130597,4814761488.68
